,Hugo_Symbol,Entrez_Gene_Id,FC,log2FC,ABS,segnificant,expressed,segnificance (-log10)
0,HIST3H2A,92815,5.337707300711807,2.4162201958153378,2.4162201958153378,1.0,over expressed,7.996139204140476
1,LIN7B,64130,1.0902042938583891,0.12459850758891287,0.12459850758891287,0.0,not expressed,0.6225189339761757
2,LXN,56925,0.5659973880797722,-0.8211326994504423,0.8211326994504423,1.0,under expressed,5.763143768229498
3,CNKSR2,22866,0.3372562238166321,-1.5680830275876847,1.5680830275876847,1.0,under expressed,7.897607530922321
4,SCML1,6322,0.829034436676893,-0.270496064829643,0.270496064829643,0.0,not expressed,1.7953772817631557
5,AC024592.12,0,1.2316229598386215,0.3005606673772846,0.3005606673772846,0.0,not expressed,1.1716286679431296
6,GSDMD,79792,0.7177747825999385,-0.4783968566833411,0.4783968566833411,0.0,not expressed,5.825916409561609
7,AKR1C1,1645,13.011406812741848,3.701705051719426,3.701705051719426,1.0,over expressed,3.922068517079737
8,C3orf62,375341,0.6373922077640249,-0.6497467128737535,0.6497467128737535,1.0,under expressed,7.338763545927206
9,CRISPLD2,83716,0.4612118343742354,-1.1164985628734496,1.1164985628734496,1.0,under expressed,5.679993546214996
10,DOCK5,80005,0.7458084623568569,-0.42312292806407764,0.42312292806407764,0.0,not expressed,4.82550020393135
11,SLC33A1,9197,1.8094465411001857,0.8555484848704715,0.8555484848704715,1.0,over expressed,8.295519175731588
12,GLI1,2735,1.9347463075200042,0.9521444062262344,0.9521444062262344,1.0,over expressed,0.9922893128798845
13,STK17B,9262,0.5066242911161262,-0.9810118432759221,0.9810118432759221,1.0,under expressed,8.371251690737195
14,RP5-966M1.6,0,0.3764256945536352,-1.4095629861091357,1.4095629861091357,1.0,under expressed,8.120190735950489
15,VPS52,6293,1.0226252447229904,0.032277546223668636,0.032277546223668636,0.0,not expressed,0.09390176370044123
16,HAGHL,84264,1.572715614150878,0.6532578194207587,0.6532578194207587,1.0,over expressed,2.297315442034797
17,CDC37L1,55664,0.6333163770888255,-0.6590017079817848,0.6590017079817848,1.0,under expressed,7.873073136042784
18,KRT10,3858,4.5098244584024,2.173071278730965,2.173071278730965,1.0,over expressed,8.651976802386294
19,AEN,64782,1.0359932627751869,0.05101462098544009,0.05101462098544009,0.0,not expressed,0.23249431831043457
20,CYHR1,50626,1.2609102717130463,0.3344656149520525,0.3344656149520525,0.0,not expressed,3.6204199939305384
21,VWA1,64856,0.8260550609154091,-0.2756901468235963,0.2756901468235963,0.0,not expressed,2.9648486095046804
22,EXOSC9,5393,1.0705111716639344,0.09829985151049173,0.09829985151049173,0.0,not expressed,0.13138061164546966
23,TNFAIP8L2,79626,0.28204180924518046,-1.8260190545336394,1.8260190545336394,1.0,under expressed,9.042485724093911
24,PFDN2,5202,1.9507631110391541,0.9640385963586432,0.9640385963586432,1.0,over expressed,8.990000828598506
25,TCP1,6950,1.8517953152180806,0.8889246417734659,0.8889246417734659,1.0,over expressed,8.44928682076279
26,ALG9,79796,0.7908068645421891,-0.33860270055520486,0.33860270055520486,0.0,not expressed,6.230217873902502
27,RPS15A,6210,0.9630664783981938,-0.054292707259789345,0.054292707259789345,0.0,not expressed,0.018789657549281046
28,PMEL,6490,1.6594146578780307,0.7306744348864566,0.7306744348864566,1.0,over expressed,1.405560151801681
29,SFMBT1,51460,1.08419183502895,0.11662004724420308,0.11662004724420308,0.0,not expressed,0.19405555765561197
30,CYBA,1535,0.5924161856055602,-0.7553170373566791,0.7553170373566791,1.0,under expressed,6.101995087244051
31,GINS1,9837,15.451757856085045,3.9496990693273824,3.9496990693273824,1.0,over expressed,8.9546396721212
32,GPX3,2878,0.08735238461150453,-3.5170091023140397,3.5170091023140397,1.0,under expressed,9.121654631913783
33,IPO9,55705,1.6708181251698588,0.7405546991704635,0.7405546991704635,1.0,over expressed,8.163631024371494
34,SHKBP1,92799,1.1995731800819915,0.26252117207149905,0.26252117207149905,0.0,not expressed,1.456879118019968
35,ARHGAP40,343578,1.7627708762743026,0.8178449663514696,0.8178449663514696,1.0,over expressed,0.8428093038467149
36,ENO3,2027,1.3128859074729298,0.3927415484662356,0.3927415484662356,0.0,not expressed,1.5515519976769545
37,COX19,90639,1.3047252975989554,0.38374608763089707,0.38374608763089707,0.0,not expressed,4.042739536056594
38,LMF1,64788,0.5897907080390424,-0.7617250015002464,0.7617250015002464,1.0,under expressed,7.922181332086859
39,S100P,6286,4.649173501031309,2.2169742663401637,2.2169742663401637,1.0,over expressed,1.0891860291066668
40,RDH14,57665,0.9143849060921236,-0.12912650595195407,0.12912650595195407,0.0,not expressed,1.7497297445727038
41,GDE1,51573,0.8082042543915019,-0.3072081489916185,0.3072081489916185,0.0,not expressed,4.544368087258113
42,LSM14B,149986,1.7454684934378315,0.8036143157728033,0.8036143157728033,1.0,over expressed,8.70353104179764
43,TLE2,7089,0.3086861876532453,-1.6957871647363403,1.6957871647363403,1.0,under expressed,8.885215244668862
44,ACOT8,10005,0.9869599451169633,-0.018936559500239505,0.018936559500239505,0.0,not expressed,0.846750549860594
45,EIF4EBP3,8637,0.5386054710041659,-0.8926992104794684,0.8926992104794684,1.0,under expressed,7.654036348411331
46,LRP2BP,55805,0.13799168565226655,-2.8573467512868356,2.8573467512868356,1.0,under expressed,9.121654631913783
47,PELO,53918,0.6628689598302278,-0.5932043975333022,0.5932043975333022,1.0,under expressed,7.557710544108022
48,CDIPT,10423,0.865518618607528,-0.20836324042099794,0.20836324042099794,0.0,not expressed,3.4582402549112032
49,C19orf44,84167,0.7767308669345525,-0.3645132957383245,0.3645132957383245,0.0,not expressed,4.544321493174363
50,PABPN1,8106,1.3236767774894587,0.4045508801197122,0.4045508801197122,0.0,not expressed,6.495174014530407
51,NFKBIB,4793,1.312876899241581,0.3927316495289356,0.3927316495289356,0.0,not expressed,1.493988898164585
52,ZWINT,11130,8.38295796301824,3.0674593949505087,3.0674593949505087,1.0,over expressed,9.095225458117138
53,DYNLL1,8655,1.3188090721694083,0.3992357165437447,0.3992357165437447,0.0,not expressed,5.1449337978569245
54,NRXN3,9369,0.6776956066898235,-0.561290675991427,0.561290675991427,0.0,not expressed,3.1912118376286527
55,FYTTD1,84248,1.7903345685739482,0.8402292161594969,0.8402292161594969,1.0,over expressed,7.023919948570127
