,Hugo_Symbol,Entrez_Gene_Id,Normality_NormalSample,Normality_CancerSample,p,stat,expressed,fdr_hypothesis,fdr,corrected
0,HIST3H2A,92815,NOT,NOT,3.992417898227317e-11,291.5,True,True,1.5582697512850635e-10,False
1,LIN7B,64130,NOT,NOT,0.34664948126015327,1113.0,False,False,0.3902896531752026,False
2,LXN,56925,NOT,NOT,1.7671094744159914e-07,2008.0,True,True,4.312915536950587e-07,False
3,CNKSR2,22866,NORMAL,NOT,1.7111044341718963e-12,2274.0,True,True,8.46002550095006e-12,False
4,SCML1,6322,NOT,NOT,0.004456068417772076,1663.0,True,True,0.006603635748221036,False
5,AC024592.12,0,NOT,NOT,0.10895680245830637,1017.0,False,False,0.13346820887936262,False
6,GSDMD,79792,NOT,NOT,3.7463146170598573e-07,1987.5,True,True,8.809908114580593e-07,False
7,AKR1C1,1645,NOT,NOT,0.00739779903005631,861.0,True,True,0.010659519413147281,False
8,C3orf62,375341,NORMAL,NOT,3.912050498137707e-09,2104.5,True,True,1.1583934239857541e-08,False
9,CRISPLD2,83716,NOT,NOT,1.8880820319946962e-05,1871.0,True,True,3.681333758770697e-05,False
10,DOCK5,80005,NORMAL,NOT,8.238232134324727e-09,2086.5,True,True,2.344425142492494e-08,False
11,SLC33A1,9197,NORMAL,NOT,4.4723599402152885e-11,294.0,True,True,1.731899080188727e-10,False
12,GLI1,2735,NOT,NOT,0.5648579514737495,1166.0,False,False,0.6061573556782844,False
13,STK17B,9262,NOT,NOT,3.092514977814856e-12,2262.0,True,True,1.4561795656840093e-11,False
14,RP5-966M1.6,0,NOT,NOT,2.368194739887386e-09,2116.5,True,True,7.206370289158815e-09,False
15,VPS52,6293,NORMAL,NOT,0.7173516621685363,1303.0,False,False,0.7498146858607267,False
16,HAGHL,84264,NOT,NOT,0.011180150651187517,881.5,True,True,0.01574735444166557,False
17,CDC37L1,55664,NOT,NOT,1.9639476929147153e-14,2360.5,True,True,1.4978894655674045e-13,False
18,KRT10,3858,NOT,NORMAL,6.32534799295302e-15,118.5,True,True,5.6036095681160726e-14,False
19,AEN,64782,NORMAL,NOT,0.4119816560668029,1130.5,False,False,0.45639240147197774,False
20,CYHR1,50626,NORMAL,NOT,0.000825814364977351,764.5,True,True,0.0013370143537941648,False
21,VWA1,64856,NORMAL,NOT,1.518608900679967e-06,1948.0,True,True,3.3434257958123437e-06,False
22,EXOSC9,5393,NORMAL,NOT,0.7019634941376263,1306.0,False,False,0.7354158746888291,False
23,TNFAIP8L2,79626,NOT,NOT,1.7794005354384757e-15,2404.5,True,True,1.9064477063856077e-14,False
24,PFDN2,5202,NORMAL,NOT,6.664194845218935e-15,119.5,True,True,5.86768429924348e-14,False
25,TCP1,6950,NOT,NOT,9.129823957543238e-13,213.5,True,True,4.743389740347652e-12,False
26,ALG9,79796,NOT,NOT,3.658108783225866e-09,2106.0,True,True,1.088797884738574e-08,False
27,RPS15A,6210,NORMAL,NOT,0.6994095505367783,1306.5,False,False,0.7331897456727055,False
28,PMEL,6490,NORMAL,NOT,0.1679254319518242,1049.5,False,False,0.1994056822597625,False
29,SFMBT1,51460,NOT,NOT,0.9615066689316705,1257.5,False,False,0.9680672273977041,False
30,CYBA,1535,NOT,NOT,3.3815973998483513e-09,2108.0,True,True,1.0101520851181093e-08,False
31,GINS1,9837,NOT,NOT,2.8597988341441255e-17,23.5,True,True,1.3176754528214198e-15,False
32,GPX3,2878,NORMAL,NOT,8.450565914442319e-18,2497.0,True,True,1.2851957852852046e-15,False
33,IPO9,55705,NORMAL,NOT,5.537195926992678e-12,250.0,True,True,2.4949154835367372e-11,False
34,SHKBP1,92799,NOT,NOT,0.05704765493623838,973.5,False,False,0.07282028499769937,False
35,ARHGAP40,343578,NOT,NOT,0.11282090195101523,1019.5,False,False,0.13782616054712735,False
36,ENO3,2027,NORMAL,NOT,0.12334719269107497,1026.0,False,False,0.14975210863295524,False
37,COX19,90639,NORMAL,NOT,0.0010832759790317052,775.5,True,True,0.0017320985318190214,False
38,LMF1,64788,NOT,NOT,8.162057892954633e-12,2242.0,True,True,3.560594699514931e-11,False
39,S100P,6286,NORMAL,NOT,0.29787211135190417,1098.5,False,False,0.3396080203012239,False
40,RDH14,57665,NORMAL,NOT,0.0018295807122528068,1702.5,True,True,0.002850983835844059,False
41,GDE1,51573,NOT,NOT,6.087288140310258e-07,1974.0,True,True,1.3959631305437369e-06,False
42,LSM14B,149986,NOT,NOT,1.1488166422722712e-13,173.0,True,True,7.224538585822165e-13,False
43,TLE2,7089,NOT,NOT,4.197925449112816e-15,2389.0,True,True,3.9114974181997794e-14,False
44,ACOT8,10005,NORMAL,NOT,0.14380290005319285,1462.5,False,False,0.1727224070934122,False
45,EIF4EBP3,8637,NOT,NOT,1.2570279868900768e-10,2183.5,True,True,4.527764485722702e-10,False
46,LRP2BP,55805,NORMAL,NOT,2.946136366535271e-17,2476.0,True,True,1.3176754528214198e-15,False
47,PELO,53918,NORMAL,NOT,5.508722721251148e-11,2201.5,True,True,2.1039837499361834e-10,False
48,CDIPT,10423,NORMAL,NOT,0.0003595529090509665,1768.0,True,True,0.0006065107415150324,False
49,C19orf44,84167,NORMAL,NORMAL,4.816736324288531e-05,1840.0,True,True,8.965533886659237e-05,False
50,PABPN1,8106,NOT,NOT,1.6242054690568182e-06,554.0,True,True,3.5665627911473923e-06,False
51,NFKBIB,4793,NOT,NOT,0.08476610436834903,999.5,False,False,0.10551990767746451,False
52,ZWINT,11130,NORMAL,NOT,4.4459068113610063e-17,31.0,True,True,1.489383468482557e-15,False
53,DYNLL1,8655,NORMAL,NOT,1.1697304527663833e-06,544.5,True,True,2.6066942171748285e-06,False
54,NRXN3,9369,NORMAL,NOT,7.666064802862054e-06,1899.5,True,True,1.563631521572518e-05,False
55,FYTTD1,84248,NORMAL,NOT,3.400364502716602e-08,449.0,True,True,9.00111810978077e-08,False
56,CAPRIN1,4076,NORMAL,NOT,1.6310693001191766e-08,430.5,True,True,4.467531656819213e-08,False
57,AOC3,8639,NOT,NOT,3.122532880255839e-17,2475.0,True,True,1.3264071441316098e-15,False
58,KIFC3,3801,NOT,NOT,7.58626941102781e-09,2088.5,True,True,2.1658040666915458e-08,False
59,DOCK11,139818,NOT,NOT,6.498462845443584e-17,2462.5,True,True,1.7375813775071286e-15,False
60,NENF,29937,NORMAL,NOT,0.10516043655433369,1014.5,False,False,0.12910571682724145,False
61,TMEM231,79583,NOT,NOT,4.8465168008640806e-08,2042.0,True,True,1.2612771578024554e-07,False
62,DNAH17,8632,NORMAL,NOT,0.06667059972755322,983.5,False,False,0.08419422173711413,False
63,DCHS1,8642,NOT,NOT,3.4682633174594916e-11,2211.5,True,True,1.3651002234931127e-10,False
64,ZFYVE19,84936,NOT,NOT,0.00028724324926047897,723.5,True,True,0.0004903772241303266,False
65,NTRK1,4914,NOT,NOT,3.3751588676522406e-06,1924.5,True,True,7.142701144027007e-06,False
66,CCDC62,84660,NORMAL,NOT,0.004126247112351053,1666.5,True,True,0.006140142894811305,False
67,HS3ST4,9951,NOT,NOT,0.9137301247498919,1234.0,False,False,0.926820967944007,False
68,SLC5A8,160728,NOT,NOT,7.024819458843523e-12,2244.5,True,True,3.099712800805156e-11,False
69,WDR53,348793,NOT,NOT,2.5353944323731246e-17,21.5,True,True,1.2974494055533225e-15,False
70,NLN,57486,NOT,NOT,2.1033225900939706e-15,98.5,True,True,2.1919100701642507e-14,False
71,TBC1D31,93594,NORMAL,NORMAL,1.236314215227303e-15,89.0,True,True,1.4135161057560846e-14,False
72,NOXRED1,122945,NORMAL,NOT,0.17994630305236592,1445.0,False,False,0.21246633551831134,False
73,ZNF597,146434,NOT,NOT,1.6810262548218656e-15,2405.5,True,True,1.8234883788855894e-14,False
74,RNF114,55905,NORMAL,NOT,0.000845631116586722,1734.5,True,True,0.001367944333648808,False
75,JOSD2,126119,NOT,NORMAL,0.2289579899952453,1075.0,False,False,0.26607794383477695,False
76,SFRP2,6423,NOT,NOT,0.000643621367803614,754.5,True,True,0.001054391572196058,False
77,PNMA2,10687,NORMAL,NOT,5.629122999653483e-17,2465.0,True,True,1.6133430234911366e-15,False
78,CDH10,1008,NOT,NOT,6.0438608113455056e-09,2093.5,True,True,1.747116725501901e-08,False
79,HENMT1,113802,NORMAL,NOT,0.0170556888994647,903.5,True,True,0.02343969974051334,False
80,STX16,8675,NORMAL,NORMAL,0.0014639975131033936,788.0,True,True,0.0023053127756116915,False
81,PTX3,5806,NOT,NOT,6.916832682496623e-07,1970.5,True,True,1.5769867307658593e-06,False
82,BFAR,51283,NOT,NORMAL,3.842862426528413e-06,1920.5,True,True,8.075106242340146e-06,False
83,MEP1B,4225,NORMAL,NOT,0.7924765315307093,1212.5,False,False,0.8187328558216018,False
84,SHROOM3,57619,NOT,NOT,3.990086520052919e-16,2431.0,True,True,5.602686199091146e-15,False
85,NUP107,57122,NOT,NOT,1.282305224395621e-13,175.0,True,True,7.949412401072972e-13,False
86,HS6ST1,9394,NORMAL,NOT,3.079597784336884e-11,286.0,True,True,1.2224276591089077e-10,False
87,BRWD3,254065,NOT,NOT,2.338567799592045e-05,636.0,True,True,4.517115458206547e-05,False
88,FGF11,2256,NOT,NOT,4.720710460648249e-17,32.0,True,True,1.5149386998912886e-15,False
89,CCDC138,165055,NOT,NOT,1.5946699089006548e-11,272.0,True,True,6.60713578101915e-11,False
90,FAM193B,54540,NORMAL,NOT,0.0018316130294813698,1702.5,True,True,0.0028531212880334228,False
