HIST3H2A	92815	62.12	130.6	33.06	35.5	73.03	60.39	92.05	66.65	54.33	15.56	55.49	30.34	14.45	100.83	131.51	59.55	87.03	71.5	23.08	48.87	72.52	115.97	45.21	74.58	8.92	27.44	40.64	35.76	59.13	20.86	37.05	48.18	51.71	49.56	72.01	21.94	27.44	35.0	76.17	28.86	90.77	59.55	40.07	22.92	29.91	82.29	4.7	37.32	43.63	77.25	53.66600000000002
LXN	56925	909.17	819.3	412.0	743.43	1340.84	607.87	1709.26	1709.26	603.67	555.41	693.58	616.37	518.15	813.63	753.83	769.69	642.59	624.99	854.13	802.41	1037.29	532.74	1088.92	842.36	507.46	769.69	514.56	974.5	1340.84	679.29	444.72	928.3	1233.75	718.08	1051.79	2367.9	389.72	836.53	669.92	460.44	813.63	2400.97	543.96	2193.99	540.19	521.76	253.23	764.36	518.15	878.17	866.3358000000002
CNKSR2	22866	41.81	18.29	40.93	67.12	54.72	29.27	20.26	23.76	28.04	39.22	46.5	42.41	37.85	51.35	24.81	53.95	35.0	54.72	53.95	19.25	34.51	51.71	12.64	25.35	43.32	64.34	43.63	77.25	40.93	33.3	33.3	58.71	29.27	32.59	44.89	55.49	24.11	56.28	39.79	38.4	34.51	70.01	57.49	57.89	67.12	34.51	22.1	31.9	28.24	49.91	41.534000000000006
AKR1C1	1645	1088.92	947.83	684.02	860.08	1096.5	2090.03	1369.04	1151.06	1119.56	703.28	575.03	1340.84	656.11	934.76	1268.46	1183.45	2004.85	947.83	698.41	1151.06	1135.2	1015.93	429.54	1096.5	473.41	547.75	1096.5	1407.55	796.86	647.07	884.29	796.86	612.11	1286.18	1015.93	921.88	1551.09	921.88	1397.83	1008.9	511.0	660.68	1051.79	743.43	961.07	1242.34	486.75	417.77	981.29	1733.13	994.0726
C3orf62	375341	122.64	181.28	181.28	150.17	183.82	117.6	106.63	150.17	100.83	112.77	114.36	132.44	136.19	242.88	106.63	180.02	170.25	140.04	113.56	164.42	136.19	127.89	96.01	182.55	87.03	145.02	165.57	156.59	145.02	101.54	167.9	187.71	156.59	156.59	92.7	217.27	137.14	135.24	161.02	229.72	194.36	183.82	120.94	84.63	130.6	166.73	198.47	74.58	190.34	135.24	147.45960000000002
CRISPLD2	83716	848.22	536.45	620.67	1216.75	1832.01	2287.2	693.58	836.53	312.0	1674.06	1417.35	5479.15	1909.85	420.68	242.88	356.05	307.69	884.29	511.0	2417.67	4210.15	1225.22	3081.75	1359.57	4937.99	896.64	620.67	1286.18	417.77	733.19	599.49	1286.18	3060.45	647.07	1268.46	728.11	3491.39	921.88	307.69	1051.79	277.2	579.04	2956.17	1233.75	1769.57	1781.89	511.0	2255.7	2193.99	457.25	1419.0256
SLC33A1	9197	435.55	392.44	381.68	511.0	363.56	241.19	334.46	514.56	334.46	476.71	376.41	218.79	363.56	343.89	400.71	279.14	397.93	414.87	417.77	417.77	376.41	305.55	435.55	316.37	251.48	470.14	395.18	511.0	376.41	279.14	353.59	332.14	444.72	226.54	444.72	454.09	256.78	470.14	318.57	312.0	457.25	540.19	361.04	441.64	291.04	281.09	454.09	463.65	361.04	297.17	377.90340000000003
STK17B	9262	595.34	1175.27	1104.13	595.34	518.15	1023.0	575.03	830.75	769.69	878.17	647.07	599.49	532.74	607.87	738.29	842.36	967.76	525.39	743.43	748.61	796.86	521.76	748.61	896.64	521.76	896.64	518.15	629.35	647.07	616.37	551.56	490.14	438.59	336.79	718.08	454.09	486.75	872.1	555.41	921.88	1427.22	414.87	547.75	567.1	444.72	775.05	902.89	848.22	638.15	616.37	696.3764000000001
RP5-966M1.6	0	14.56	41.22	10.47	11.82	54.72	29.06	17.13	31.67	16.39	21.63	26.67	14.78	6.89	56.28	18.16	48.87	12.45	35.0	7.4	25.91	50.27	38.12	13.62	53.95	23.93	38.67	57.49	26.47	37.85	18.7	29.06	46.84	47.84	31.67	9.48	49.91	10.16	15.0	51.71	64.8	72.52	32.59	25.35	15.68	33.3	42.71	49.56	4.78	93.35	67.12	33.0716
HAGHL	84264	118.43	220.32	44.25	63.0	211.31	115.16	129.69	183.82	74.58	44.89	75.64	74.06	82.87	334.46	173.85	132.44	108.9	120.1	28.24	128.79	87.65	115.16	145.02	90.14	38.4	53.19	71.5	42.11	127.89	25.54	140.04	150.17	105.89	191.67	52.82	117.6	88.88	37.85	120.94	73.54	217.27	90.14	52.82	27.05	110.43	67.59	68.55	73.03	204.07	339.14	111.8178
CDC37L1	55664	295.11	371.22	281.09	279.14	400.71	361.04	269.6	295.11	244.57	346.29	305.55	460.44	332.14	279.14	309.83	312.0	339.14	264.03	275.28	224.97	348.71	265.87	265.87	432.53	299.25	420.68	295.11	332.14	303.44	275.28	318.57	366.09	279.14	244.57	291.04	264.03	414.87	289.02	283.05	373.81	273.37	287.01	332.14	218.79	353.59	275.28	343.89	258.57	273.37	285.03	310.21020000000004
KRT10	3858	242.88	305.55	189.02	194.36	232.94	318.57	269.6	366.09	176.29	291.04	194.36	180.02	185.11	241.19	543.96	309.83	169.07	262.2	325.29	255.0	167.9	205.5	217.27	343.89	149.12	226.54	256.78	248.0	220.32	265.87	226.54	246.28	279.14	339.14	176.29	303.44	215.77	258.57	267.73	232.94	327.56	309.83	181.28	158.79	212.78	242.88	312.0	246.28	241.19	204.07	250.72120000000004
TNFAIP8L2	79626	320.8	547.75	403.5	420.68	314.17	395.18	314.17	514.56	473.41	163.28	334.46	119.26	299.25	466.88	633.73	395.18	329.84	309.83	295.11	444.72	363.56	435.55	381.68	426.57	279.14	239.52	392.44	381.68	353.59	212.78	387.02	339.14	346.29	246.28	291.04	226.54	229.72	371.22	363.56	314.17	703.28	379.04	323.03	295.11	320.8	142.01	470.14	400.71	435.55	507.46	361.08760000000007
PFDN2	5202	2047.0	2061.24	1519.15	1781.89	1745.2	2682.69	1819.35	2047.0	1685.71	1832.01	1605.83	2835.7	1733.13	2163.77	2816.11	1857.6	1508.65	1857.6	1909.85	1721.16	1936.53	1540.37	1857.6	3190.46	2796.65	1561.89	1605.83	1059.11	1977.24	1832.01	2193.99	2090.03	2224.63	2319.15	1551.09	1417.35	2997.45	1233.75	2178.83	1685.71	1870.53	1167.14	1685.71	1407.55	1674.06	1628.26	1857.6	1819.35	1794.29	2104.58	1909.7876
TCP1	6950	2335.28	2047.0	2351.53	2645.74	2502.97	2875.3	2520.38	2400.97	2451.44	2119.22	2739.08	3124.78	2319.15	2193.99	2061.24	2645.74	2163.77	2434.5	2758.13	1950.0	2351.53	2271.4	2075.59	2502.97	2976.74	2591.27	2351.53	2816.11	2609.3	1896.65	2240.11	2591.27	2417.67	2133.97	2485.67	3146.52	2956.17	2645.74	2209.26	2104.58	2627.46	2682.69	2319.15	2255.7	2163.77	2319.15	2627.46	2502.97	2468.49	2319.15	2446.005
PMEL	6490	25.17	44.89	32.82	26.86	53.19	43.02	42.71	37.32	39.5	26.1	28.45	23.25	43.94	30.56	32.36	37.85	28.04	36.01	28.04	53.19	45.53	38.12	22.75	38.95	26.1	27.64	26.67	35.76	31.45	31.45	42.71	31.0	29.91	31.0	30.56	40.93	27.25	20.71	26.86	30.56	28.24	48.52	31.9	19.39	39.79	31.22	32.82	32.82	37.85	33.78	33.7102
CYBA	1535	7642.41	12502.12	8247.98	7180.15	7331.05	8538.88	6652.97	10733.74	8078.22	5831.91	6207.38	5183.54	6471.02	10154.69	14765.09	7966.99	6294.04	8247.98	4869.99	10440.2	8840.04	10440.2	10883.59	8963.45	8479.89	5183.54	7032.37	4239.45	8538.88	4358.66	6935.54	7485.11	8718.32	7695.57	5112.16	6037.61	8421.31	5112.16	8778.97	9151.82	12160.22	7331.05	7081.29	5633.22	8078.22	5329.3	6699.25	8658.09	14461.21	12415.75	8031.9317999999985
GINS1	9837	19.82	27.44	8.71	47.17	17.51	8.92	20.86	53.95	8.0	14.14	20.56	6.11	44.89	17.64	25.17	18.29	16.03	12.09	7.63	16.15	25.35	34.26	24.11	14.67	7.82	8.38	11.3	14.56	37.32	10.47	9.48	16.03	15.11	10.31	18.29	32.13	12.09	14.45	11.04	12.45	59.55	33.54	8.25	32.36	9.78	10.96	10.71	26.86	20.56	22.59	19.717200000000002
GPX3	2878	26067.14	22535.88	37379.55	25708.25	29736.59	37121.34	42054.3	14765.09	30785.28	35609.13	47313.67	47313.67	38966.94	17078.76	24153.43	16045.82	22692.63	32092.64	49322.93	18689.27	32994.92	25530.66	25179.16	29124.6	24660.96	43236.64	31870.96	35118.87	20593.91	68793.23	29531.18	21919.61	19082.0	23820.89	88905.42	28923.41	43840.21	41763.8	17317.18	35363.15	14262.1	17681.08	42641.37	52863.07	53973.86	26614.89	23169.48	31650.8	22850.48	26248.46	32299.173200000005
IPO9	55705	713.11	379.04	575.03	743.43	665.29	406.31	587.13	571.05	543.96	669.92	629.35	540.19	616.37	543.96	476.71	595.34	651.58	651.58	555.41	599.49	583.07	595.34	540.19	476.71	543.96	728.11	571.05	738.29	738.29	638.15	624.99	595.34	698.41	633.73	665.29	748.61	587.13	665.29	529.06	514.56	525.39	698.41	660.68	743.43	555.41	616.37	718.08	674.59	438.59	521.76	605.6506000000002
