,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
0,HIST3H2A,92815.0,NOT,1.9962089491136584e-11,291.5,expressed
1,LIN7B,64130.0,NOT,0.17332474063007663,1113.0,not
2,LXN,56925.0,NOT,0.9999999148763918,2008.0,not
3,CNKSR2,22866.0,ND,0.9999999999991859,2274.0,not
4,SCML1,6322.0,NOT,0.9978197051239704,1663.0,not
5,AC024592.12,0.0,NOT,0.054478401229153185,1017.0,not
6,GSDMD,79792.0,NOT,0.9999998193665566,1987.5,not
7,AKR1C1,1645.0,NOT,0.003698899515028155,861.0,expressed
8,C3orf62,375341.0,ND,0.9999999981239169,2104.5,not
9,CRISPLD2,83716.0,NOT,0.9999908476061846,1871.0,not
10,DOCK5,80005.0,ND,0.9999999960459205,2086.5,not
11,SLC33A1,9197.0,ND,2.2361799701076442e-11,294.0,expressed
12,GLI1,2735.0,NOT,0.28242897573687475,1166.0,not
13,STK17B,9262.0,NOT,0.9999999999985277,2262.0,not
14,RP5-966M1.6,0.0,NOT,0.9999999988649234,2116.5,not
15,VPS52,6293.0,ND,0.6438972807348218,1303.0,not
16,HAGHL,84264.0,NOT,0.0055900753255937585,881.5,expressed
17,CDC37L1,55664.0,NOT,0.9999999999999907,2360.5,not
18,KRT10,3858.0,NOT,3.16267399647651e-15,118.5,expressed
19,AEN,64782.0,ND,0.20599082803340146,1130.5,not
20,CYHR1,50626.0,ND,0.0004129071824886755,764.5,expressed
21,VWA1,64856.0,ND,0.999999266449486,1948.0,not
22,EXOSC9,5393.0,ND,0.6515713554794376,1306.0,not
23,TNFAIP8L2,79626.0,NOT,0.9999999999999991,2404.5,not
24,PFDN2,5202.0,ND,3.3320974226094674e-15,119.5,expressed
25,TCP1,6950.0,NOT,4.564911978771619e-13,213.5,expressed
26,ALG9,79796.0,NOT,0.9999999982458385,2106.0,not
27,RPS15A,6210.0,ND,0.652844909373604,1306.5,not
28,PMEL,6490.0,ND,0.0839627159759121,1049.5,not
29,SFMBT1,51460.0,NOT,0.5219935761900154,1257.5,not
30,CYBA,1535.0,NOT,0.9999999983785649,2108.0,not
31,GINS1,9837.0,NOT,1.4298994170720628e-17,23.5,expressed
32,GPX3,2878.0,ND,1.0,2497.0,not
33,IPO9,55705.0,ND,2.768597963496339e-12,250.0,expressed
34,SHKBP1,92799.0,NOT,0.02852382746811919,973.5,expressed
35,ARHGAP40,343578.0,NOT,0.05641045097550761,1019.5,not
36,ENO3,2027.0,ND,0.061673596345537485,1026.0,not
37,COX19,90639.0,ND,0.0005416379895158526,775.5,expressed
38,LMF1,64788.0,NOT,0.9999999999961107,2242.0,not
39,S100P,6286.0,ND,0.14893605567595208,1098.5,not
40,RDH14,57665.0,ND,0.9991063744470245,1702.5,not
41,GDE1,51573.0,NOT,0.9999997063114971,1974.0,not
42,LSM14B,149986.0,NOT,5.744083211361356e-14,173.0,expressed
43,TLE2,7089.0,NOT,0.999999999999998,2389.0,not
44,ACOT8,10005.0,ND,0.9290388518136943,1462.5,not
45,EIF4EBP3,8637.0,NOT,0.9999999999399379,2183.5,not
46,LRP2BP,55805.0,ND,1.0,2476.0,not
47,PELO,53918.0,ND,0.9999999999737008,2201.5,not
48,CDIPT,10423.0,ND,0.9998248955123296,1768.0,not
49,C19orf44,84167.0,ND,0.9999766182708961,1840.0,not
50,PABPN1,8106.0,NOT,8.121027345284091e-07,554.0,expressed
51,NFKBIB,4793.0,NOT,0.04238305218417451,999.5,expressed
52,ZWINT,11130.0,ND,2.2229534056805032e-17,31.0,expressed
53,DYNLL1,8655.0,ND,5.848652263831916e-07,544.5,expressed
54,NRXN3,9369.0,ND,0.9999962887403036,1899.5,not
55,FYTTD1,84248.0,ND,1.700182251358301e-08,449.0,expressed
56,CAPRIN1,4076.0,ND,8.155346500595883e-09,430.5,expressed
57,AOC3,8639.0,NOT,1.0,2475.0,not
58,KIFC3,3801.0,NOT,0.9999999963591836,2088.5,not
59,DOCK11,139818.0,NOT,1.0,2462.5,not
60,NENF,29937.0,ND,0.05258021827716684,1014.5,not
61,TMEM231,79583.0,NOT,0.9999999766904367,2042.0,not
62,DNAH17,8632.0,ND,0.03333529986377661,983.5,expressed
63,DCHS1,8642.0,NOT,0.9999999999834498,2211.5,not
64,ZFYVE19,84936.0,NOT,0.00014362162463023949,723.5,expressed
65,NTRK1,4914.0,NOT,0.9999983678983323,1924.5,not
66,CCDC62,84660.0,ND,0.9979814009161244,1666.5,not
67,HS3ST4,9951.0,NOT,0.45686506237494595,1234.0,not
68,SLC5A8,160728.0,NOT,0.9999999999966532,2244.5,not
69,WDR53,348793.0,NOT,1.2676972161865623e-17,21.5,expressed
70,NLN,57486.0,NOT,1.0516612950469853e-15,98.5,expressed
71,TBC1D31,93594.0,ND,6.181571076136515e-16,89.0,expressed
72,NOXRED1,122945.0,ND,0.9111409858504893,1445.0,not
73,ZNF597,146434.0,NOT,0.9999999999999992,2405.5,not
74,RNF114,55905.0,ND,0.9995875556877412,1734.5,not
75,JOSD2,126119.0,NOT,0.11447899499762265,1075.0,not
76,SFRP2,6423.0,NOT,0.000321810683901807,754.5,expressed
77,PNMA2,10687.0,ND,1.0,2465.0,not
78,CDH10,1008.0,NOT,0.9999999971002378,2093.5,not
79,HENMT1,113802.0,ND,0.00852784444973235,903.5,expressed
80,STX16,8675.0,ND,0.0007319987565516968,788.0,expressed
81,PTX3,5806.0,NOT,0.9999996662326067,1970.5,not
82,BFAR,51283.0,NOT,0.9999981414125438,1920.5,not
83,MEP1B,4225.0,ND,0.39623826576535465,1212.5,not
84,SHROOM3,57619.0,NOT,0.9999999999999998,2431.0,not
85,NUP107,57122.0,NOT,6.411526121978105e-14,175.0,expressed
86,HS6ST1,9394.0,ND,1.539798892168442e-11,286.0,expressed
87,BRWD3,254065.0,NOT,1.1692838997960225e-05,636.0,expressed
88,FGF11,2256.0,NOT,2.3603552303241246e-17,32.0,expressed
89,CCDC138,165055.0,NOT,7.973349544503274e-12,272.0,expressed
90,FAM193B,54540.0,ND,0.9991053777129749,1702.5,not
91,BATF,10538.0,ND,0.9999765888196481,1840.0,not
92,COL4A2,1284.0,ND,0.9835697874618234,1559.0,not
93,AGFG2,3268.0,NOT,0.9999999999627994,2194.0,not
94,TVP23B,51030.0,NOT,0.0010519794647151604,803.5,expressed
95,FBXO42,54455.0,ND,0.9186816337247243,1452.0,not
96,NBEAL1,65065.0,NOT,0.9999997403377319,1977.5,not
97,BCL6,604.0,NOT,0.9999230902722052,1798.5,not
98,DNAJC3,5611.0,ND,0.9999999839358223,2051.5,not
99,C1orf233,643988.0,NOT,0.00685718649661432,892.0,expressed
100,ADH6,130.0,NOT,0.9974370101362412,1655.5,not
101,VPS13B,157680.0,ND,0.6692356471575424,1313.0,not
102,ZMYM3,9203.0,NOT,0.5832753511875224,1280.0,not
103,SEMA3D,223117.0,NOT,0.9617827601800188,1506.5,not
104,ITGB6,3694.0,ND,0.9999999999998644,2309.5,not
105,RBM44,375316.0,NOT,0.9982097103626004,1672.0,not
106,CEACAM21,90273.0,ND,0.999999999999999,2401.0,not
107,ETV6,2120.0,NOT,0.00405317126422522,865.5,expressed
108,C1RL,51279.0,NOT,0.9999998549055645,1993.5,not
