,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
0,HIST3H2A,92815.0,NOT,5.044647213577163e-09,44.0,expressed
1,LIN7B,64130.0,NOT,0.1192479907943847,494.0,not
2,LXN,56925.0,NOT,0.9999991373666662,1133.0,not
3,CNKSR2,22866.0,ND,0.999999993670601,1227.0,not
4,SCML1,6322.0,NOT,0.9919907339062245,887.0,not
5,AC024592.12,0.0,NOT,0.03367761566561569,448.0,expressed
6,GSDMD,79792.0,NOT,0.9999992534591192,1136.0,not
7,AKR1C1,1645.0,NOT,5.982758703738161e-05,239.0,expressed
8,C3orf62,375341.0,ND,0.9999999770804304,1121.0,not
9,CRISPLD2,83716.0,NOT,0.9999989553364106,1129.0,not
10,DOCK5,80005.0,ND,0.999992527433297,1086.0,not
11,SLC33A1,9197.0,ND,2.5319249511604757e-09,32.0,expressed
12,GLI1,2735.0,NOT,0.05089565307576848,468.0,not
13,STK17B,9262.0,NOT,0.9999999978732408,1246.0,not
14,RP5-966M1.6,0.0,NOT,0.9999999962087776,1236.0,not
15,VPS52,6293.0,ND,0.4027803181725581,564.0,not
16,HAGHL,84264.0,NOT,0.0025214743946838057,347.0,expressed
17,CDC37L1,55664.0,NOT,0.9999999933027445,1226.0,not
18,KRT10,3858.0,NOT,1.114277091576484e-09,18.0,expressed
19,AEN,64782.0,ND,0.29273569787157827,581.0,not
20,CYHR1,50626.0,ND,0.00011982570984023135,257.0,expressed
21,VWA1,64856.0,ND,0.9994578475872881,941.0,not
22,EXOSC9,5393.0,ND,0.3694786879103053,579.0,not
23,TNFAIP8L2,79626.0,NOT,0.9999999995465971,1272.0,not
24,PFDN2,5202.0,ND,5.116455199614585e-10,5.0,expressed
25,TCP1,6950.0,NOT,1.7769826339871815e-09,19.0,expressed
26,ALG9,79796.0,NOT,0.9999997057258388,1075.0,not
27,RPS15A,6210.0,ND,0.5211711086413918,643.0,not
28,PMEL,6490.0,ND,0.019652140144233318,424.0,expressed
