,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression,fdr,fdr_hypothesis
0,HIST3H2A,92815.0,NOT,1.0089294427154326e-08,44.0,expressed,4.682766287724099e-08,True
1,LIN7B,64130.0,NOT,0.2384959815887694,494.0,not,0.27562336646681773,False
2,LXN,56925.0,NOT,1.725266667615396e-06,142.0,expressed,4.29019457075802e-06,True
3,CNKSR2,22866.0,ND,1.2658797980080207e-08,48.0,expressed,5.6302969903678055e-08,True
4,SCML1,6322.0,NOT,0.016018532187551015,388.0,expressed,0.02223008865198777,True
5,AC024592.12,0.0,NOT,0.06735523133123138,448.0,not,0.08533012769485349,False
6,GSDMD,79792.0,NOT,1.4930817614885294e-06,139.0,expressed,3.7544377626949558e-06,True
7,AKR1C1,1645.0,NOT,0.00011965517407476322,239.0,expressed,0.00022211939954239573,True
8,C3orf62,375341.0,ND,4.583913925572416e-08,55.0,expressed,1.6425453861079337e-07,True
9,CRISPLD2,83716.0,NOT,2.0893271788382714e-06,146.0,expressed,5.108722861207521e-06,True
10,DOCK5,80005.0,ND,1.4945133405887308e-05,189.0,expressed,3.1783476497193553e-05,True
11,SLC33A1,9197.0,ND,5.063849902320951e-09,32.0,expressed,2.742257274689481e-08,True
12,GLI1,2735.0,NOT,0.10179130615153696,468.0,not,0.12534356075043132,False
13,STK17B,9262.0,NOT,4.253518335686794e-09,29.0,expressed,2.4033593531062773e-08,True
14,RP5-966M1.6,0.0,NOT,7.582444917112655e-09,39.0,expressed,3.752126495076514e-08,True
15,VPS52,6293.0,ND,0.8055606363451162,564.0,not,0.8281890134417594,False
16,HAGHL,84264.0,NOT,0.005042948789367611,347.0,expressed,0.007459919535564779,True
17,CDC37L1,55664.0,NOT,1.3394511022385218e-08,49.0,expressed,5.886293002078469e-08,True
18,KRT10,3858.0,NOT,2.228554183152968e-09,18.0,expressed,1.5091443949026863e-08,True
19,AEN,64782.0,ND,0.5854713957431565,581.0,not,0.624168005521046,False
20,CYHR1,50626.0,ND,0.0002396514196804627,257.0,expressed,0.0004261867690940903,True
21,VWA1,64856.0,ND,0.001084304825423952,284.0,expressed,0.0017569887638240306,True
22,EXOSC9,5393.0,ND,0.7389573758206106,579.0,not,0.767679637632925,False
23,TNFAIP8L2,79626.0,NOT,9.06805772149548e-10,3.0,expressed,1.093136886055739e-08,True
24,PFDN2,5202.0,ND,1.023291039922917e-09,5.0,expressed,1.093136886055739e-08,True
25,TCP1,6950.0,NOT,3.553965267974363e-09,19.0,expressed,2.107678486408228e-08,True
26,ALG9,79796.0,NOT,5.885483223611941e-07,101.0,expressed,1.6013816772388768e-06,True
27,RPS15A,6210.0,ND,0.9576577827172162,632.0,not,0.9629533292456293,False
28,PMEL,6490.0,ND,0.039304280288466636,424.0,expressed,0.05154491955981008,False
29,SFMBT1,51460.0,NOT,0.6396530018516378,589.0,not,0.6760894277402743,False
30,CYBA,1535.0,NOT,7.906875722375847e-07,126.0,expressed,2.0930321499240386e-06,True
31,GINS1,9837.0,NOT,1.1100954635085601e-09,0.0,expressed,1.093136886055739e-08,True
32,GPX3,2878.0,ND,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
33,IPO9,55705.0,ND,6.860708631977539e-09,30.0,expressed,3.479704686359718e-08,True
34,SHKBP1,92799.0,NOT,0.03492375090847877,419.0,expressed,0.046106824374778047,True
35,ARHGAP40,343578.0,NOT,0.14361198867269973,486.0,not,0.17246417131184483,False
36,ENO3,2027.0,ND,0.028083291139889135,410.0,expressed,0.037619328042926864,True
37,COX19,90639.0,ND,9.062759682479183e-05,232.0,expressed,0.00017151530840800602,True
38,LMF1,64788.0,NOT,1.1962409574708818e-08,47.0,expressed,5.3773256675278386e-08,True
39,S100P,6286.0,ND,0.08143553819251917,457.0,not,0.10178705754111632,False
40,RDH14,57665.0,ND,0.017793863530119643,392.0,expressed,0.024522456520368316,True
41,GDE1,51573.0,NOT,2.8551696122053476e-05,204.0,expressed,5.801969777648816e-05,True
42,LSM14B,149986.0,NOT,1.9791055568801153e-09,16.0,expressed,1.4011905120944259e-08,True
43,TLE2,7089.0,NOT,1.3025210640480111e-09,9.0,expressed,1.1301381909306577e-08,True
44,ACOT8,10005.0,ND,0.14231459792438458,465.0,not,0.17114407790767447,False
45,EIF4EBP3,8637.0,NOT,2.218010774931945e-08,58.0,expressed,8.77401789259202e-08,True
46,LRP2BP,55805.0,ND,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
